nohup: ignoring input
/home/felicio/Projects/TriplePlay-Sentinel/src/collector/venv/lib/python3.11/site-packages/paramiko/pkey.py:100: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
2025-06-22 20:38:08,492 - sentinel-mikrotik - WARNING - Tentativa 1/3 falhou para 172.25.0.3: timed out
2025-06-22 20:38:08,493 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:08] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:08,493 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:08] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:08,493 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:08] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:09,494 - sentinel-mikrotik - INFO - Estabelecendo nova conexão SSH para 172.25.0.3:22
2025-06-22 20:38:39,515 - sentinel-mikrotik - ERROR - Erro ao conectar SSH em 172.25.0.3:22: timed out
2025-06-22 20:38:39,515 - sentinel-mikrotik - WARNING - Tentativa 2/3 falhou para 172.25.0.3: timed out
2025-06-22 20:38:39,515 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:39] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:39,516 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:39] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:39,516 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:39] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:39,759 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:38:39] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:38:41,516 - sentinel-mikrotik - INFO - Estabelecendo nova conexão SSH para 172.25.0.3:22
2025-06-22 20:39:11,547 - sentinel-mikrotik - ERROR - Erro ao conectar SSH em 172.25.0.3:22: timed out
2025-06-22 20:39:11,547 - sentinel-mikrotik - WARNING - Tentativa 3/3 falhou para 172.25.0.3: timed out
2025-06-22 20:39:11,547 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:11] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:11,548 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:11] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:11,548 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:11] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:11,548 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:11] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:39:11,814 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:11] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:22,946 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:22] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:40,877 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:40] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:42,054 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:42] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:39:53,120 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:39:53] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:40:11,096 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:40:11] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:40:12,255 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:40:12] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:40:23,333 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:40:23] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:40:41,325 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:40:41] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:40:42,480 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:40:42] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:40:53,555 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:40:53] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:41:11,540 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:41:11] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:41:12,721 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:41:12] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:41:23,819 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:41:23] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:41:41,734 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:41:41] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:41:42,972 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:41:42] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:41:54,036 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:41:54] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:42:12,538 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:42:12] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:42:13,218 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:42:13] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:42:43,014 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:42:43] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:42:43,586 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:42:43] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:43:13,229 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:43:13] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:43:13,833 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:43:13] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:43:43,467 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:43:43] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:43:44,121 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:43:44] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:44:13,782 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:44:13] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:44:14,412 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:44:14] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:44:44,022 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:44:44] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:44:44,751 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:44:44] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:45:14,405 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:45:14] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:45:15,013 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:45:15] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:45:44,723 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:45:44] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:45:45,293 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:45:45] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:46:15,088 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:46:15] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:46:15,665 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:46:15] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:46:28,286 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:46:28] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:46:45,342 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:46:45] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:46:46,075 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:46:46] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:47:15,648 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:47:15] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:47:16,405 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:47:16] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:47:45,839 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:47:45] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:47:46,782 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:47:46] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:09,493 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:09] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:09,495 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:09] "[31m[1mPOST /api/connection-test HTTP/1.1[0m" 400 -
2025-06-22 20:48:16,206 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:16] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:17,085 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:17] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:22,543 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:22] "[31m[1mPOST /api/connection-test HTTP/1.1[0m" 400 -
2025-06-22 20:48:46,376 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:46] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:47,233 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:47] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:48,984 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:48] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:48:48,988 - paramiko.transport - INFO - Connected (version 2.0, client ROSSSH)
2025-06-22 20:48:49,309 - paramiko.transport - INFO - Authentication (password) successful!
2025-06-22 20:48:49,315 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:49] "POST /api/connection-test HTTP/1.1" 200 -
2025-06-22 20:48:49,317 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:48:49,317 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:48:49,322 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:48:49,322 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:48:49] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:49:00,233 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:00] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:49:00,237 - paramiko.transport - INFO - Connected (version 2.0, client ROSSSH)
2025-06-22 20:49:00,565 - paramiko.transport - INFO - Authentication (password) successful!
2025-06-22 20:49:00,571 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:00] "POST /api/connection-test HTTP/1.1" 200 -
2025-06-22 20:49:00,574 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:49:00,574 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:49:00,579 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:49:00,579 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:00] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:49:07,866 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:49:07,866 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:49:07,871 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:49:07,872 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:07] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:49:15,263 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:49:15,263 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:49:15,279 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:49:15,279 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:15] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:49:16,620 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:16] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:49:17,447 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:17] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:49:46,928 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:46] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:49:47,622 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:49:47] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:50:17,194 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:50:17] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:50:17,781 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:50:17] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:50:47,417 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:50:47] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:50:47,971 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:50:47] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:17,892 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:17] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:18,302 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:18] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:47,689 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:47] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:47,695 - paramiko.transport - INFO - Connected (version 2.0, client ROSSSH)
2025-06-22 20:51:48,016 - paramiko.transport - INFO - Authentication (password) successful!
2025-06-22 20:51:48,022 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:48] "POST /api/connection-test HTTP/1.1" 200 -
2025-06-22 20:51:48,024 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:51:48,024 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:51:48,030 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:51:48,030 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:48] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:51:48,426 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:48] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:48,611 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:48] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:55,747 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:55] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:51:55,751 - paramiko.transport - INFO - Connected (version 2.0, client ROSSSH)
2025-06-22 20:51:56,064 - paramiko.transport - INFO - Authentication (password) successful!
2025-06-22 20:51:56,071 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:56] "POST /api/connection-test HTTP/1.1" 200 -
2025-06-22 20:51:56,073 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:51:56,073 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:51:56,078 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:51:56,079 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:51:56] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:52:05,378 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:52:05,378 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:52:05,384 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:52:05,384 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:52:05] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:52:18,822 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:52:18] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:52:18,827 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:52:18] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:52:49,004 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:52:49] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:52:49,018 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:52:49] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:53:19,232 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:53:19] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:53:19,247 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:53:19] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:53:49,464 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:53:49] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:53:49,478 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:53:49] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:54:19,685 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:54:19] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:54:19,813 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:54:19] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:54:49,925 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:54:49] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:54:50,052 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:54:50] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:55:20,135 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:55:20] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:55:20,389 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:55:20] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:55:50,390 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:55:50] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:55:50,700 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:55:50] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:56:20,639 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:56:20] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:56:21,070 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:56:21] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:56:50,868 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:56:50] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:56:51,239 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:56:51] "GET /api/health HTTP/1.1" 200 -
